respondent_id,start_date,end_date,dbt_used_at_org,personal_dbt_experience,job_title,base_salary_usd,company_headquarters,company_industry,organization_size,org_data_infrastructure_proportion,org_data_analysis_proportion,multiselect_time_spent_platform,multiselect_time_spent_datasets,multiselect_time_spent_reports_dashboards,multiselect_time_spent_ml_models,multiselect_time_spent_mentorship_direct_reports,multiselect_time_spent_other_free_text,rate_org_marketing_analytics,rate_org_product_analytics,rate_org_financial_analytics,rate_org_data_quality_transparency,rate_org_cross_team_alignment_data_ownership,rate_org_data_team_productivity_agility,rate_org_enabling_self_service,how_do_you_distribute_data_team_work,how_do_you_distribute_data_team_work_other_free_text,how_is_your_team_measured,how_is_your_team_measured_other_free_text,agreement_org_sets_clear_goals_responsibilities_roadmap,agreement_org_values_data_team,multiselect_economic_impact_reduced_headcount,multiselect_economic_impact_downgraded_open_headcount,multiselect_economic_impact_reduced_tooling_budget,multiselect_economic_impact_increased_headcount,multiselect_economic_impact_upgraded_open_headcount,multiselect_economic_impact_increased_tooling_budget,multiselect_economic_impact_no_change,multiselect_economic_impact_not_sure,investment_plan_next_12m_data_warehouse_lakehouse,investment_plan_next_12m_extract_load,investment_plan_next_12m_transform_model,investment_plan_next_12m_reverse_etl,investment_plan_next_12m_data_quality_observability,investment_plan_next_12m_data_orchestration,investment_plan_next_12m_bi_tools,multiselect_data_prep_challenge_poor_source_quality,multiselect_data_prep_challenge_input_data_inconsistent,multiselect_data_prep_challenge_ambiguous_quality_ownership,multiselect_data_prep_challenge_transform_slow_build_update,multiselect_data_prep_challenge_transform_location_reuse,multiselect_data_prep_challenge_docs_dependency_mgmt,multiselect_data_prep_challenge_stakeholders_dont_use_trust,multiselect_data_prep_challenge_data_not_where_org_needs,multiselect_data_prep_challenge_none_of_above,multiselect_data_prep_challenge_other_free_text,biggest_mds_problem_metadata_sharing_across_tools,biggest_mds_problem_team_tool_collab_clarity,biggest_mds_problem_producer_consumer_coordination_handoff,biggest_mds_problem_tools_learning_curve,biggest_mds_problem_implementing_best_practice_across_tools,biggest_mds_problem_other_free_text
118188502324,11/29/2022 3:05:27 PM,11/29/2022 3:14:28 PM,Yes - we use dbt Cloud,1-2 years,Analytics Engineer,$101k to $150k,North America,Technology / Software,"501-1,000",2-5%,2-5%,,Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,,,N/A - not relevant for my org,N/A - not relevant for my org,N/A - not relevant for my org,Somewhat well,Somewhat well,Somewhat well,Somewhat well,,,Not sure,,Somewhat agree,Somewhat agree,,,,Increased open headcount,,,,,No change (maintain current investment),Increasing investment,No change (maintain current investment),No change (no current investment),Increasing investment,Not sure,No change (maintain current investment),,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,,Stakeholders don’t use / don’t trust data provided,,,Users often want (near) real-time reports.,,,,,,
118188170505,11/29/2022 10:06:29 AM,11/29/2022 10:09:53 AM,Yes - we use dbt Core / open source,1-2 years,Data Engineer,Prefer not to say,Europe,Consulting / Professional Services,"1,001 – 5,000",2-5%,21-50%,,Build / maintain data sets to ease analysis,,,,,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Each team member specializes in both functional and business areas. (e.g. supports infra/modeling for Sales vs. reporting/BI for Sales),,Qualitative evaluations (e.g. performance ratings from stakeholders),,Strongly agree,Strongly agree,,,,,,,No change,,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Source data quality is poor,Input data is hard to collect in a consistent way,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,,,,,,,,,,Implementing best practices across all the different tools,
118187331690,11/28/2022 2:34:27 PM,11/28/2022 2:34:37 PM,Yes - we use dbt Cloud,< 1 year,People Manager/Director - Data Engineering,$101k to $150k,North America,Non-Profit,Less than 100,6-10%,2-5%,,Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,Mentor / enable direct reports who do a combination of work described above,,Somewhat well,Somewhat well,Somewhat well,Somewhat well,Somewhat badly,Very well,Very well,Everyone is “full-stack” with no specialization. Projects are assigned by rotation or in an ad-hoc fashion.,,Qualitative evaluations (e.g. performance ratings from stakeholders),,Somewhat agree,Somewhat agree,,,,,,,No change,,Increasing investment,Increasing investment,No change (maintain current investment),No change (no current investment),Increasing investment,No change (maintain current investment),No change (maintain current investment),,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,Transformations are too time-consuming to build and update,,,Stakeholders don’t use / don’t trust data provided,,,,No effective way to share metadata across tools,,Coordination and handoffs between data producers and data consumers,,,
118187195360,11/28/2022 11:43:19 AM,11/28/2022 12:09:53 PM,No - we don’t use dbt Core or dbt Cloud,I have never used dbt,Data Analyst,$51k to $100k,North America,Government or Military,"1,001 – 5,000",21-50%,21-50%,,Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,,,Somewhat well,Somewhat well,Somewhat well,Very well,Somewhat badly,Very badly,Very badly,Everyone is “full-stack” with no specialization. Projects are assigned by rotation or in an ad-hoc fashion.,,Qualitative evaluations (e.g. performance ratings from stakeholders),,No opinion,Somewhat agree,,,,Increased open headcount,,,,,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Source data quality is poor,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,,,,,,,,,,Implementing best practices across all the different tools,
118187048359,11/28/2022 9:25:24 AM,11/28/2022 9:35:43 AM,Yes - we use both dbt Core and dbt Cloud,< 1 year,Other,$51k to $100k,Europe,Media / Entertainment,101-500,2-5%,2-5%,,,,,,Build / maintain software,Very well,N/A - not relevant for my org,N/A - not relevant for my org,Somewhat badly,Somewhat well,Somewhat badly,Somewhat well,Each team member specializes in both functional and business areas. (e.g. supports infra/modeling for Sales vs. reporting/BI for Sales),,Not sure,,Somewhat disagree,Somewhat agree,,,,,,,,Not sure,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),Not sure,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,,Stakeholders don’t use / don’t trust data provided,,,Stakeholders find it hard to commit to projects,,,,,,
118186575547,11/27/2022 2:06:45 PM,11/27/2022 2:16:06 PM,Yes - we use dbt Cloud,1-2 years,Analytics Engineer,$101k to $150k,North America,Education / Training,"501-1,000",2-5%,2-5%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,Mentor / enable direct reports who do a combination of work described above,,Somewhat well,Somewhat well,Somewhat badly,Somewhat well,Somewhat well,Very well,Very well,Everyone is “full-stack” with no specialization. Projects are assigned by rotation or in an ad-hoc fashion.,,"Enablement of other teams (e.g. number of active users in data tool, tickets opened)",,Somewhat agree,Strongly agree,,,,,,,No change,,No change (maintain current investment),Increasing investment,No change (maintain current investment),No change (no current investment),Increasing investment,Increasing investment,No change (maintain current investment),Source data quality is poor,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,Managing data documentation and dependencies are too time-consuming,,,,,,No clear understanding of how teams should collaborate in a given tool,Coordination and handoffs between data producers and data consumers,Learning curve to set up and maintain tools,,"per user license approach discourages periodic (<1/month) contributions from analysts and others in org (dbt cloud, GitHub)"
118186150745,11/26/2022 8:28:10 AM,11/26/2022 8:32:13 AM,Yes - we use both dbt Core and dbt Cloud,1-2 years,Data Analyst,$101k to $150k,North America,Education / Training,Less than 100,2-5%,2-5%,,Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,,,Somewhat badly,Somewhat badly,Somewhat badly,Somewhat badly,Somewhat badly,Somewhat well,Somewhat well,Each team member specializes in both functional and business areas. (e.g. supports infra/modeling for Sales vs. reporting/BI for Sales),,Progress to financial goals (e.g. amount of money saved or business closed),,Somewhat disagree,Somewhat disagree,Reduced headcount (open or existing),,Reduced budget for tooling (new or existing),,,,,,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),Not sure,No change (maintain current investment),No change (maintain current investment),Decreasing investment,,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,Managing data documentation and dependencies are too time-consuming,Stakeholders don’t use / don’t trust data provided,,,,,No clear understanding of how teams should collaborate in a given tool,Coordination and handoffs between data producers and data consumers,Learning curve to set up and maintain tools,,
118185839579,11/25/2022 3:11:27 PM,11/25/2022 3:17:14 PM,No - we don’t use dbt Core or dbt Cloud,I have never used dbt,People Manager/Director - Data Analytics,$101k to $150k,Asia & Pacific,Technology / Software,101-500,11-20%,6-10%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,,,Very badly,Somewhat well,Somewhat badly,Very badly,Somewhat badly,Very badly,Somewhat well,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,Qualitative evaluations (e.g. performance ratings from stakeholders),,Somewhat disagree,Somewhat disagree,,,,,,,No change,,Increasing investment,Increasing investment,Increasing investment,Increasing investment,Increasing investment,Increasing investment,Increasing investment,Source data quality is poor,Input data is hard to collect in a consistent way,,,,,Stakeholders don’t use / don’t trust data provided,,,,No effective way to share metadata across tools,No clear understanding of how teams should collaborate in a given tool,Coordination and handoffs between data producers and data consumers,Learning curve to set up and maintain tools,Implementing best practices across all the different tools,
118185728934,11/25/2022 11:41:55 AM,11/25/2022 11:46:45 AM,Yes - we use dbt Core / open source,< 1 year,Analytics Engineer,$51k to $100k,Europe,Consumer Packaged Goods,101-500,Less than 1%,2-5%,,Build / maintain data sets to ease analysis,,,,try to understand what the stakeholders want,Somewhat well,Very badly,Somewhat badly,Somewhat well,Somewhat badly,Somewhat well,Somewhat well,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,Qualitative evaluations (e.g. performance ratings from stakeholders),,Somewhat agree,Somewhat agree,,,,Increased open headcount,,Increased budget for tooling (new or existing),,,No change (maintain current investment),Increasing investment,Not sure,No change (no current investment),Not sure,No change (maintain current investment),Not sure,Source data quality is poor,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,Managing data documentation and dependencies are too time-consuming,,,,,No effective way to share metadata across tools,,Coordination and handoffs between data producers and data consumers,,Implementing best practices across all the different tools,
118185664533,11/25/2022 10:05:50 AM,11/25/2022 10:11:05 AM,Yes - we use both dbt Core and dbt Cloud,More than 2 years,Data Analyst,$51k to $100k,Europe,Consumer Packaged Goods,Less than 100,Less than 1%,Less than 1%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,,,Somewhat well,Somewhat badly,Somewhat well,Very well,Somewhat well,Very well,Somewhat well,Everyone is “full-stack” with no specialization. Projects are assigned by rotation or in an ad-hoc fashion.,,Qualitative evaluations (e.g. performance ratings from stakeholders),,Somewhat agree,Somewhat agree,Reduced headcount (open or existing),,,,,,,,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (no current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),,,,,Transformations are hard to locate and re-use.,,,Data isn’t where business users need it to be to inform quick decisions,,,No effective way to share metadata across tools,No clear understanding of how teams should collaborate in a given tool,,,,
118185632917,11/25/2022 9:24:10 AM,11/25/2022 9:30:09 AM,Yes - we use both dbt Core and dbt Cloud,< 1 year,Analytics Engineer,$51k to $100k,Europe,Technology / Software,101-500,Less than 1%,2-5%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,,,,,Very well,Somewhat well,Somewhat well,Somewhat well,Somewhat well,Very well,Somewhat well,Each team member specializes in both functional and business areas. (e.g. supports infra/modeling for Sales vs. reporting/BI for Sales),,Not sure,,Somewhat agree,Somewhat agree,Reduced headcount (open or existing),,,,,,,,Increasing investment,Increasing investment,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),Increasing investment,No change (maintain current investment),Source data quality is poor,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,Managing data documentation and dependencies are too time-consuming,,,,,No effective way to share metadata across tools,,Coordination and handoffs between data producers and data consumers,,Implementing best practices across all the different tools,
118185589769,11/25/2022 8:27:05 AM,11/25/2022 8:36:53 AM,,,Data Engineer,Under $50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source data quality is poor,,,,,,,,,,,,,,,
118185375641,11/25/2022 4:02:56 AM,11/25/2022 4:30:47 AM,Yes - we use dbt Core / open source,< 1 year,Data Engineer,$51k to $100k,Europe,Technology / Software,"501-1,000",Less than 1%,Less than 1%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,,,,,N/A - not relevant for my org,Somewhat well,Somewhat badly,Somewhat well,Somewhat well,Somewhat well,Somewhat badly,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,Not sure,,Strongly agree,Somewhat agree,,,,,,,,Not sure,No change (maintain current investment),Increasing investment,No change (maintain current investment),Not sure,Not sure,No change (maintain current investment),No change (maintain current investment),Source data quality is poor,,,,,Managing data documentation and dependencies are too time-consuming,,,,Source data definitions are not catalogued anywhere,No effective way to share metadata across tools,,Coordination and handoffs between data producers and data consumers,Learning curve to set up and maintain tools,Implementing best practices across all the different tools,
118185128406,11/24/2022 4:41:59 PM,11/24/2022 5:42:41 PM,Yes - we use both dbt Core and dbt Cloud,More than 2 years,Data Engineer,$51k to $100k,Asia & Pacific,Telecommunications,"501-1,000",2-5%,2-5%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,,,Mentor / enable direct reports who do a combination of work described above,,Somewhat well,Somewhat well,Very badly,Very well,Somewhat well,Very well,Very well,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,Qualitative evaluations (e.g. performance ratings from stakeholders),,Somewhat agree,Strongly agree,,,,,,,No change,,No change (maintain current investment),No change (maintain current investment),Increasing investment,No change (no current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,,,,,,,,,,Implementing best practices across all the different tools,
118184885445,11/24/2022 9:35:28 AM,11/24/2022 9:42:57 AM,Yes - we use dbt Core / open source,< 1 year,People Manager/Director - Data Engineering,$51k to $100k,Asia & Pacific,Telecommunications,"1,001 – 5,000",Less than 1%,Less than 1%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,,,N/A - not relevant for my org,N/A - not relevant for my org,N/A - not relevant for my org,Somewhat badly,Very badly,Somewhat badly,Very badly,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,"Enablement of other teams (e.g. number of active users in data tool, tickets opened)",,No opinion,No opinion,,,,,,,No change,Not sure,No change (maintain current investment),Increasing investment,Increasing investment,Not sure,Increasing investment,Increasing investment,No change (maintain current investment),,,,Transformations are too time-consuming to build and update,Transformations are hard to locate and re-use.,Managing data documentation and dependencies are too time-consuming,,,,,No effective way to share metadata across tools,,,,,
118184741458,11/24/2022 6:00:53 AM,11/24/2022 6:07:58 AM,Yes - we use both dbt Core and dbt Cloud,< 1 year,Software Engineer,Under $50k,Europe,Education / Training,Less than 100,Less than 1%,Less than 1%,,Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,,,Somewhat badly,Somewhat well,Somewhat well,Somewhat badly,Very well,Somewhat badly,Very well,Everyone is “full-stack” with no specialization. Projects are assigned by rotation or in an ad-hoc fashion.,,Progress to financial goals (e.g. amount of money saved or business closed),,Somewhat agree,Somewhat agree,Reduced headcount (open or existing),,,,,,,,No change (maintain current investment),No change (maintain current investment),,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),Source data quality is poor,Input data is hard to collect in a consistent way,,,,,Stakeholders don’t use / don’t trust data provided,,,,No effective way to share metadata across tools,,,,Implementing best practices across all the different tools,
118184406456,11/23/2022 6:28:49 PM,11/23/2022 6:35:45 PM,Yes - we use dbt Cloud,1-2 years,Data Engineer,$51k to $100k,North America,Technology / Software,"1,001 – 5,000",11-20%,11-20%,,,,,Mentor / enable direct reports who do a combination of work described above,,Somewhat well,Somewhat well,Somewhat well,Somewhat well,Somewhat well,Somewhat well,N/A - not relevant for my org,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,Qualitative evaluations (e.g. performance ratings from stakeholders),,Somewhat agree,No opinion,,,,Increased open headcount,,,,,Decreasing investment,Not sure,Not sure,No change (maintain current investment),Decreasing investment,Increasing investment,Increasing investment,,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,,,,,,,No clear understanding of how teams should collaborate in a given tool,,,,
118184405744,11/23/2022 6:28:31 PM,11/23/2022 6:34:04 PM,No - we don’t use dbt Core or dbt Cloud,I have never used dbt,Other,$51k to $100k,North America,Financial Services,"1,001 – 5,000",Less than 1%,2-5%,,Build / maintain data sets to ease analysis,,,,,Somewhat well,Somewhat well,Very well,Somewhat well,Somewhat well,Very well,N/A - not relevant for my org,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,Qualitative evaluations (e.g. performance ratings from stakeholders),,Somewhat agree,No opinion,Reduced headcount (open or existing),,,,,,,,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),,Input data is hard to collect in a consistent way,,,,,,Data isn’t where business users need it to be to inform quick decisions,,,No effective way to share metadata across tools,No clear understanding of how teams should collaborate in a given tool,,Learning curve to set up and maintain tools,,
